Building type,Equipment (W/m2),Lift (W/m2),Facade lighting (W/m2),Landscape lighting (W/m2),"Carpark ventilation, above ground (W/m2)","Carpark lighting, above ground (W/m2)","Carpark ventilation, below ground (W/m2)",Fresh Air Rate per Floor Area (l/s/m2),Fresh Air Rate per person (l/s),"Carpark lighting, below ground (W/m2)",CO2 sensor setpoint  (ppm),People density (pax/m2 AC area),"People diversity, 0-1",Weekly operational hours of main AC system (hours/week),Average Malaysian EUI (kWh/m2/year) ,1-star threshold EUI (kWh/m2/year),Grid pollution (kgCO2e/MWj)
office,8,1,1,1,1,1,1,0.3,2.5,1,1000,0.1,1,52,135,200,0.78
retail_hyper,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,1,240,290,0.78
retail_center,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,1,335,370,0.78
hotel_4star,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,1,210,290,0.78
healthcare_limited,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,168,200,250,0.78
healthcare_major,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,168,285,350,0.78
residential,8,1,1,1,1,1,1,0.3,2.5,2,1000,0.1,1,14,42,55,0.78
